Date,Start,High,Low,Close
105/01/13,7799.56,7865.98,7786.33,7824.61
105/01/14,7752.09,7752.09,7662.34,7742.88
105/01/15,7809.0,7842.34,7708.66,7762.01
105/01/18,7678.67,7834.25,7627.89,7811.18
105/01/19,7816.45,7854.88,7786.77,7854.88
105/01/20,7835.17,7835.17,7687.6,7699.12
105/01/21,7713.17,7748.37,7664.01,7664.01
105/01/22,7729.01,7774.12,7706.14,7756.18
105/01/25,7813.73,7899.66,7813.73,7894.15
105/01/26,7832.1,7848.63,7799.58,7828.67
105/01/27,7863.66,7888.63,7830.33,7849.83
105/01/28,7825.22,7921.06,7821.12,7905.1
105/01/29,7880.78,8080.6,7876.82,8080.6
105/01/30,8107.23,8149.5,8106.63,8145.21
105/02/01,8164.24,8166.8,8110.87,8156.96
105/02/02,8141.52,8156.25,8091.14,8131.24
105/02/03,8117.22,8117.22,8036.6,8063.0
105/02/15,7976.65,8074.8,7953.99,8066.51
105/02/16,8090.91,8227.19,8090.91,8212.07
105/02/17,8240.73,8253.8,8196.13,8214.25
105/02/18,8261.74,8337.97,8261.74,8314.67
105/02/19,8291.83,8325.04,8280.39,8325.04
105/02/22,8315.79,8396.62,8296.18,8326.68
105/02/23,8333.59,8361.79,8311.94,8334.64
105/02/24,8332.66,8382.25,8264.39,8282.86
105/02/25,8304.18,8388.63,8304.18,8365.86
105/02/26,8380.53,8432.74,8347.8,8411.16
105/03/01,8381.38,8489.01,8378.06,8485.69
105/03/02,8544.66,8586.25,8540.17,8544.05
105/03/03,8569.05,8630.77,8561.74,8611.79
105/03/04,8611.37,8648.94,8584.06,8643.55
105/03/07,8656.74,8727.88,8632.21,8659.55
105/03/08,8655.86,8668.51,8575.7,8664.31
105/03/09,8649.1,8657.17,8588.41,8634.11
105/03/10,8633.66,8680.43,8614.97,8660.7
105/03/11,8663.29,8707.97,8640.96,8706.14
105/03/14,8746.48,8777.05,8739.57,8747.9
105/03/15,8745.57,8759.94,8589.41,8611.18
105/03/16,8637.63,8699.14,8637.63,8699.14
105/03/17,8763.51,8826.84,8716.88,8734.54
105/03/18,8747.05,8810.71,8747.05,8810.71
105/03/21,8826.16,8840.75,8747.59,8812.7
105/03/22,8806.02,8814.37,8713.24,8785.68
105/03/23,8777.88,8814.5,8734.55,8766.09
105/03/24,8745.42,8765.96,8676.87,8743.38
105/03/25,8758.14,8765.62,8699.89,8704.97
105/03/28,8713.72,8737.86,8676.03,8690.45
105/03/29,8687.06,8711.11,8585.71,8617.35
105/03/30,8624.93,8744.47,8624.93,8737.04
105/03/31,8757.22,8803.91,8695.08,8744.83
105/04/01,8700.38,8704.53,8628.94,8657.55
105/04/06,8605.16,8605.16,8496.89,8513.3
105/04/07,8523.25,8529.44,8436.54,8490.25
105/04/08,8464.78,8546.31,8452.05,8541.5
105/04/11,8518.96,8568.44,8476.57,8562.59
105/04/12,8561.21,8613.56,8520.14,8531.18
105/04/13,8562.79,8653.08,8561.9,8652.08
105/04/14,8684.93,8719.15,8653.84,8667.71
105/04/15,8634.23,8700.39,8613.25,8700.39
105/04/18,8681.8,8686.98,8650.13,8666.01
105/04/19,8701.75,8743.35,8627.29,8633.72
105/04/20,8649.09,8695.22,8502.55,8514.48
105/04/21,8549.14,8568.65,8508.92,8568.65
105/04/22,8560.21,8580.33,8501.03,8535.75
105/04/25,8541.14,8560.28,8513.73,8560.28
105/04/26,8556.37,8622.42,8554.55,8581.57
105/04/27,8561.37,8597.64,8537.03,8563.05
105/04/28,8586.92,8595.99,8456.38,8473.87
105/04/29,8424.04,8424.04,8352.23,8377.9
105/05/03,8362.35,8363.59,8268.41,8294.12
105/05/04,8282.52,8285.96,8153.57,8185.47
105/05/05,8182.05,8207.98,8122.34,8167.96
